profile	workload	started_utc	finished_utc	exit_code	log	config
qwen3-0.6b	mac	2026-09-14T14:59:33Z	2026-09-14T14:59:42Z	2	logs/qwen3-0.6b_mac.log	configs/qwen3-0.6b_mac.config
gemma3-1b	mac	2026-09-14T14:59:42Z	2026-09-14T14:59:49Z	2	logs/gemma3-1b_mac.log	configs/gemma3-1b_mac.config
phi4-mini	mac	2026-09-14T14:59:49Z	2026-09-14T14:59:56Z	2	logs/phi4-mini_mac.log	configs/phi4-mini_mac.config
qwen3-0.6b	conversion	2026-09-14T14:59:56Z	2026-09-14T15:00:02Z	0	logs/qwen3-0.6b_conversion.log	configs/qwen3-0.6b_conversion.config
gemma3-1b	conversion	2026-09-14T15:00:02Z	2026-09-14T15:00:10Z	0	logs/gemma3-1b_conversion.log	configs/gemma3-1b_conversion.config
phi4-mini	conversion	2026-09-14T15:00:10Z	2026-09-14T15:00:16Z	0	logs/phi4-mini_conversion.log	configs/phi4-mini_conversion.config
qwen3-0.6b	p32_to_p16	2026-09-14T15:00:16Z	2026-09-14T15:00:23Z	0	logs/qwen3-0.6b_p32_to_p16.log	configs/qwen3-0.6b_p32_to_p16.config
gemma3-1b	p32_to_p16	2026-09-14T15:00:24Z	2026-09-14T15:00:29Z	0	logs/gemma3-1b_p32_to_p16.log	configs/gemma3-1b_p32_to_p16.config
phi4-mini	p32_to_p16	2026-09-14T15:00:29Z	2026-09-14T15:00:36Z	0	logs/phi4-mini_p32_to_p16.log	configs/phi4-mini_p32_to_p16.config
qwen3-0.6b	dot	2026-09-14T15:00:36Z	2026-09-14T15:00:42Z	0	logs/qwen3-0.6b_dot.log	configs/qwen3-0.6b_dot.config
gemma3-1b	dot	2026-09-14T15:00:42Z	2026-09-14T15:00:49Z	2	logs/gemma3-1b_dot.log	configs/gemma3-1b_dot.config
phi4-mini	dot	2026-09-14T15:00:49Z	2026-09-14T15:00:58Z	0	logs/phi4-mini_dot.log	configs/phi4-mini_dot.config
qwen3-0.6b	mul	2026-09-14T15:00:58Z	2026-09-14T15:01:08Z	0	logs/qwen3-0.6b_mul.log	configs/qwen3-0.6b_mul.config
gemma3-1b	mul	2026-09-14T15:01:08Z	2026-09-14T15:01:17Z	0	logs/gemma3-1b_mul.log	configs/gemma3-1b_mul.config
phi4-mini	mul	2026-09-14T15:01:17Z	2026-09-14T15:01:25Z	0	logs/phi4-mini_mul.log	configs/phi4-mini_mul.config
qwen3-0.6b	p32_to_int	2026-09-14T15:01:25Z	2026-09-14T15:01:32Z	0	logs/qwen3-0.6b_p32_to_int.log	configs/qwen3-0.6b_p32_to_int.config
gemma3-1b	p32_to_int	2026-09-14T15:01:32Z	2026-09-14T15:01:38Z	0	logs/gemma3-1b_p32_to_int.log	configs/gemma3-1b_p32_to_int.config
phi4-mini	p32_to_int	2026-09-14T15:01:38Z	2026-09-14T15:01:44Z	0	logs/phi4-mini_p32_to_int.log	configs/phi4-mini_p32_to_int.config
qwen3-0.6b	add	2026-09-14T15:01:44Z	2026-09-14T15:01:53Z	0	logs/qwen3-0.6b_add.log	configs/qwen3-0.6b_add.config
gemma3-1b	add	2026-09-14T15:01:54Z	2026-09-14T15:02:00Z	0	logs/gemma3-1b_add.log	configs/gemma3-1b_add.config
phi4-mini	add	2026-09-14T15:02:00Z	2026-09-14T15:02:06Z	0	logs/phi4-mini_add.log	configs/phi4-mini_add.config
