profile	workload	started_utc	finished_utc	exit_code	log	config
qwen3-0.6b	mac	2026-09-14T14:56:08Z	2026-09-14T14:56:45Z	2	logs/qwen3-0.6b_mac.log	configs/qwen3-0.6b_mac.config
gemma3-1b	mac	2026-09-14T14:56:45Z	2026-09-14T14:57:15Z	2	logs/gemma3-1b_mac.log	configs/gemma3-1b_mac.config
phi4-mini	mac	2026-09-14T14:57:15Z	2026-09-14T14:57:16Z	2	logs/phi4-mini_mac.log	configs/phi4-mini_mac.config
qwen3-0.6b	conversion	2026-09-14T14:57:16Z	2026-09-14T14:57:17Z	2	logs/qwen3-0.6b_conversion.log	configs/qwen3-0.6b_conversion.config
gemma3-1b	conversion	2026-09-14T14:57:17Z	2026-09-14T14:57:18Z	2	logs/gemma3-1b_conversion.log	configs/gemma3-1b_conversion.config
phi4-mini	conversion	2026-09-14T14:57:18Z	2026-09-14T14:57:18Z	2	logs/phi4-mini_conversion.log	configs/phi4-mini_conversion.config
qwen3-0.6b	p32_to_p16	2026-09-14T14:57:18Z	2026-09-14T14:57:19Z	2	logs/qwen3-0.6b_p32_to_p16.log	configs/qwen3-0.6b_p32_to_p16.config
gemma3-1b	p32_to_p16	2026-09-14T14:57:19Z	2026-09-14T14:57:20Z	2	logs/gemma3-1b_p32_to_p16.log	configs/gemma3-1b_p32_to_p16.config
phi4-mini	p32_to_p16	2026-09-14T14:57:20Z	2026-09-14T14:57:20Z	2	logs/phi4-mini_p32_to_p16.log	configs/phi4-mini_p32_to_p16.config
qwen3-0.6b	dot	2026-09-14T14:57:20Z	2026-09-14T14:57:21Z	2	logs/qwen3-0.6b_dot.log	configs/qwen3-0.6b_dot.config
gemma3-1b	dot	2026-09-14T14:57:21Z	2026-09-14T14:57:22Z	2	logs/gemma3-1b_dot.log	configs/gemma3-1b_dot.config
phi4-mini	dot	2026-09-14T14:57:22Z	2026-09-14T14:57:23Z	2	logs/phi4-mini_dot.log	configs/phi4-mini_dot.config
qwen3-0.6b	mul	2026-09-14T14:57:23Z	2026-09-14T14:57:25Z	0	logs/qwen3-0.6b_mul.log	configs/qwen3-0.6b_mul.config
gemma3-1b	mul	2026-09-14T14:57:25Z	2026-09-14T14:57:26Z	0	logs/gemma3-1b_mul.log	configs/gemma3-1b_mul.config
phi4-mini	mul	2026-09-14T14:57:26Z	2026-09-14T14:57:28Z	0	logs/phi4-mini_mul.log	configs/phi4-mini_mul.config
qwen3-0.6b	p32_to_int	2026-09-14T14:57:28Z	2026-09-14T14:57:28Z	2	logs/qwen3-0.6b_p32_to_int.log	configs/qwen3-0.6b_p32_to_int.config
gemma3-1b	p32_to_int	2026-09-14T14:57:28Z	2026-09-14T14:57:29Z	2	logs/gemma3-1b_p32_to_int.log	configs/gemma3-1b_p32_to_int.config
phi4-mini	p32_to_int	2026-09-14T14:57:29Z	2026-09-14T14:57:29Z	2	logs/phi4-mini_p32_to_int.log	configs/phi4-mini_p32_to_int.config
qwen3-0.6b	add	2026-09-14T14:57:29Z	2026-09-14T14:57:30Z	2	logs/qwen3-0.6b_add.log	configs/qwen3-0.6b_add.config
gemma3-1b	add	2026-09-14T14:57:30Z	2026-09-14T14:57:31Z	2	logs/gemma3-1b_add.log	configs/gemma3-1b_add.config
phi4-mini	add	2026-09-14T14:57:31Z	2026-09-14T14:57:31Z	2	logs/phi4-mini_add.log	configs/phi4-mini_add.config
