profile,workload,semantic,shape,elements,mac_terms,cycles,useful_per_cycle_x1000000,maximum_error_bits,mismatches,status
qwen3-0.6b,mac,rvv-fp32-direct,M16N16K16,1792,28672,123830,231543,0,0,PASS
qwen3-0.6b,dot,rvv-fp32-direct,K4,1792,7168,31045,230890,0,0,PASS
qwen3-0.6b,multiply,rvv-fp32-direct,K4,7168,0,6542,1095689,0,0,PASS
qwen3-0.6b,to_int,rvv-fp32-direct,input-samples,1792,0,1197,1497076,0,0,PASS
qwen3-0.6b,add,rvv-fp32-direct,captured-add,14336,0,13031,1100145,0,0,PASS
qwen3-0.6b,p16_proxy,rvv-fp32-to-fp16-proxy,input-samples,1792,0,30078,59578,0,0,PASS
gemma3-1b,mac,rvv-fp32-direct,M16N16K16,1792,28672,123830,231543,0,0,PASS
gemma3-1b,dot,rvv-fp32-direct,K4,1792,7168,31045,230890,0,0,PASS
gemma3-1b,multiply,rvv-fp32-direct,K4,7168,0,6542,1095689,0,0,PASS
gemma3-1b,to_int,rvv-fp32-direct,input-samples,1792,0,1197,1497076,0,0,PASS
gemma3-1b,add,rvv-fp32-direct,captured-add,13312,0,12103,1099892,0,0,PASS
gemma3-1b,p16_proxy,rvv-fp32-to-fp16-proxy,input-samples,1792,0,30078,59578,33000000,0,PASS
phi4-mini,mac,rvv-fp32-direct,M16N16K16,1024,16384,70790,231445,0,0,PASS
phi4-mini,dot,rvv-fp32-direct,K4,1024,4096,17774,230448,0,0,PASS
phi4-mini,multiply,rvv-fp32-direct,K4,4096,0,3746,1093432,0,0,PASS
phi4-mini,to_int,rvv-fp32-direct,input-samples,1024,0,699,1464949,0,0,PASS
phi4-mini,add,rvv-fp32-direct,captured-add,16384,0,14892,1100188,0,0,PASS
phi4-mini,p16_proxy,rvv-fp32-to-fp16-proxy,input-samples,1024,0,17203,59524,0,0,PASS
